Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Ryan Manning,"DF,MF",Southampton,24,18,"1,462",16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0,0.06,0.06,0,,,,,,,,0.0,297.0,0.0,8.5
Solly March,"FW,MF",Brighton,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Omar Marmoush,"FW,MF",Manchester City,16,14,"1,175",13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0,0.54,0.54,,,,,,,,0.0,297.0,0.0,30.5
Gabriel Martinelli,"FW,MF",Arsenal,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,7.4,7.4,5,12.4,124,52,289,0.31,0.16,0.47,0.31,,,,,,,,0.0,297.0,0.0,30.5
Emiliano Martínez,GK,Aston Villa,37,37,"3,194",35.5,0,0,0,0,0,0,5,1,0,0,0.5,0.5,0,4,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Lisandro Martínez,DF,Manchester Utd,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,,,,,,,,0.0,297.0,0.0,93.5
Pape Matar Sarr,MF,Tottenham,36,22,"1,913",21.3,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,33,88,53,0.14,0.09,0.24,0.14,,,,,,,,0.0,297.0,0.0,56.5
Jean-Philippe Mateta,FW,Crystal Palace,37,33,"2,648",29.4,14,2,16,12,2,2,2,0,13.5,11.9,3.2,15.1,45,52,122,0.48,0.07,0.54,0.41,,,,,,,,0.0,297.0,0.0,43.0
Stephy Mavididi,FW,Leicester City,30,16,"1,615",17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,,,,,,,,0.0,297.0,0.0,43.0
Konstantinos Mavropanos,DF,West Ham,33,21,"2,045",22.7,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2,17,61,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Noussair Mazraoui,DF,Manchester Utd,37,34,"2,838",31.5,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,42,115,58,0,0.03,0.03,0,,,,,,,,0.0,297.0,0.0,93.5
Bryan Mbeumo,FW,Brentford,38,38,"3,414",37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,0.53,0.18,0.71,0.4,,,,,,,,0.0,297.0,0.0,43.0
James Mcatee,"MF,FW",Manchester City,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0,0.77,0.77,,,,,,,,0.0,297.0,0.0,22.5
Kasey McAteer,FW,Leicester City,18,9,852,9.5,1,1,2,1,0,0,3,0,1,1,0.7,1.7,19,14,71,0.11,0.11,0.21,0.11,,,,,,,,0.0,297.0,0.0,43.0
Alex McCarthy,GK,Southampton,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
John McGinn,"MF,FW",Aston Villa,34,27,"2,223",24.7,1,4,5,1,0,0,7,0,3.1,2.8,3.5,6.3,32,103,87,0.04,0.16,0.2,0.04,,,,,,,,0.0,297.0,0.0,22.5
Dwight McNeil,"MF,FW",Everton,21,15,"1,371",15.2,4,6,10,4,0,0,1,0,1.1,1.1,5.2,6.3,38,69,80,0.26,0.39,0.66,0.26,,,,,,,,0.0,297.0,0.0,22.5
Scott McTominay,MF,Manchester Utd,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Ben Mee,DF,Brentford,7,2,183,2,0,0,0,0,0,0,2,0,0,0,0,0,3,11,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Jayden Meghoma,DF,Brentford,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Mikel Merino,"MF,FW",Arsenal,28,17,"1,586",17.6,7,2,9,7,0,0,4,1,5.9,5.9,2,7.9,11,69,94,0.4,0.11,0.51,0.4,,,,,,,,0.0,297.0,0.0,22.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Shumaira Mheuka,MF,Chelsea,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Nikola Milenković,DF,Nott'ham Forest,37,37,"3,330",37,5,2,7,5,0,0,4,0,4,4,1.1,5.1,3,51,6,0.14,0.05,0.19,0.14,,,,,,,,0.0,297.0,0.0,93.5
Lewis Miley,MF,Newcastle Utd,14,1,313,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0,0.6,2,17,8,0.29,0,0.29,0.29,,,,,,,,0.0,297.0,0.0,56.5
James Milner,MF,Brighton,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Tyrone Mings,DF,Aston Villa,14,12,"1,120",12.4,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1,7,40,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Yankuba Minteh,"FW,MF",Brighton,32,20,"1,838",20.4,6,4,10,6,0,0,6,0,4.1,4.1,5,9.1,90,48,201,0.29,0.2,0.49,0.29,,,,,,,,0.0,297.0,0.0,30.5
Tyrick Mitchell,DF,Crystal Palace,37,37,"3,092",34.4,0,5,5,0,0,0,2,0,1.3,1.3,6.4,7.7,63,70,171,0,0.15,0.15,0,,,,,,,,0.0,297.0,0.0,93.5
Kaoru Mitoma,"FW,MF",Brighton,36,28,"2,603",28.9,10,4,14,10,0,0,1,0,9.2,9.2,4.6,13.8,146,89,291,0.35,0.14,0.48,0.35,,,,,,,,0.0,297.0,0.0,30.5
Jakub Moder,MF,Brighton,4,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,4,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Jeremy Monga,"FW,MF",Leicester City,7,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,3,10,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Mikey Moore,FW,Tottenham,10,3,366,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,12,9,40,0,0.25,0.25,0,,,,,,,,0.0,297.0,0.0,43.0
Morato,DF,Nott'ham Forest,26,6,907,10.1,0,0,0,0,0,0,5,0,0.2,0.2,0,0.2,1,19,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Álex Moreno,"DF,MF",Nott'ham Forest,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0,0.09,0.09,0,,,,,,,,0.0,297.0,0.0,8.5
Sam Morsy,MF,Ipswich Town,33,31,"2,751",30.6,1,1,2,1,0,0,10,0,0.4,0.4,1.2,1.6,22,120,13,0.03,0.03,0.07,0.03,,,,,,,,0.0,297.0,0.0,56.5
Yerson Mosquera,DF,Wolves,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Mason Mount,MF,Manchester Utd,17,8,622,6.9,1,0,1,1,0,0,3,0,3.2,3.2,0.6,3.8,15,33,41,0.14,0,0.14,0.14,,,,,,,,0.0,297.0,0.0,56.5
Divin Mubama,FW,Manchester City,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Mykhailo Mudryk,FW,Chelsea,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1,1.2,7,5,12,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Marshall Munetsi,"MF,FW",Wolves,14,12,"1,078",12,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,9,10,35,0.17,0.08,0.25,0.17,,,,,,,,0.0,297.0,0.0,22.5
