Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Stefan Ortega,GK,Manchester City,13,12,"1,100",12.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
William Osula,FW,Newcastle Utd,14,0,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,4,17,0.67,0,0.67,0.67,,,,,,,,0.0,297.0,0.0,43.0
Dango Ouattara,FW,Bournemouth,32,21,"2,005",22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,,,,,,,,0.0,297.0,0.0,43.0
Nico O’Reilly,DF,Manchester City,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0,0.34,0.34,,,,,,,,0.0,297.0,0.0,93.5
Alex Palmer,GK,Ipswich Town,13,13,"1,170",13,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Cole Palmer,"MF,FW",Chelsea,37,36,"3,191",35.5,15,8,23,11,4,5,7,0,17.3,13.3,10.9,24.2,120,214,187,0.42,0.23,0.65,0.31,,,,,,,,0.0,297.0,0.0,22.5
Emerson Palmieri,DF,West Ham,31,26,"2,113",23.5,2,1,3,2,0,0,5,0,2,2,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,,,,,,,,0.0,297.0,0.0,93.5
Lucas Paquetá,"MF,FW",West Ham,33,27,"2,380",26.4,4,0,4,2,2,2,10,0,5.3,3.7,3.1,6.8,26,155,85,0.15,0,0.15,0.08,,,,,,,,0.0,297.0,0.0,22.5
Thomas Partey,"MF,DF",Arsenal,35,31,"2,797",31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,,,,,,,,0.0,297.0,0.0,7.0
Nathan Patterson,DF,Everton,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0,0.26,0.26,0,,,,,,,,0.0,297.0,0.0,93.5
Andreas Pereira,MF,Fulham,33,25,"2,013",22.4,2,4,6,2,0,1,7,0,3.8,3,4.6,7.6,29,104,81,0.09,0.18,0.27,0.09,,,,,,,,0.0,297.0,0.0,56.5
Ricardo Pereira,DF,Leicester City,10,4,388,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,18,5,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Kalvin Phillips,MF,Ipswich Town,19,14,"1,237",13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Jaden Philogene Bidace,"FW,MF",Aston Villa,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Jaden Philogene Bidace,"FW,DF",Ipswich Town,10,5,474,5.3,2,0,2,2,0,0,1,0,2,2,0.2,2.2,13,10,36,0.38,0,0.38,0.38,,,,,,,,0.0,297.0,0.0,4.0
Jordan Pickford,GK,Everton,38,38,"3,420",38,0,1,1,0,0,0,7,0,0,0,0.4,0.4,0,0,0,0,0.03,0.03,0,,,,,,,,0.0,297.0,0.0,22.5
Ethan Pinnock,DF,Brentford,22,21,"1,913",21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0,0.09,0.09,,,,,,,,0.0,297.0,0.0,93.5
Daniel Podence,"MF,FW",Wolves,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Alfie Pond,DF,Wolves,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Nick Pope,GK,Newcastle Utd,28,28,"2,520",28,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Pedro Porro,DF,Tottenham,33,28,"2,610",29,2,6,8,2,0,0,5,0,1.6,1.6,5,6.6,65,154,109,0.07,0.21,0.28,0.07,,,,,,,,0.0,297.0,0.0,93.5
Jarell Quansah,DF,Liverpool,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Hákon Rafn Valdimarsson,GK,Brentford,2,1,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Aaron Ramsdale,GK,Southampton,30,30,"2,700",30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Jacob Ramsey,"FW,MF",Aston Villa,29,19,"1,623",18,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.06,0.17,0.22,0.06,,,,,,,,0.0,297.0,0.0,30.5
Marcus Rashford,"FW,MF",Manchester Utd,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,,,,,,,,0.0,297.0,0.0,30.5
Marcus Rashford,FW,Aston Villa,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,,,,,,,,0.0,297.0,0.0,43.0
David Raya,GK,Arsenal,38,38,"3,420",38,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Harrison Reed,MF,Fulham,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Remy Rees-Dottin,FW,Bournemouth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Sergio Reguilón,DF,Tottenham,4,1,196,2.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,5,13,12,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Vitor Reis,DF,Manchester City,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Chadi Riad,DF,Crystal Palace,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Declan Rice,MF,Arsenal,35,33,"2,825",31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,,,,,,,,0.0,297.0,0.0,56.5
Chris Richards,DF,Crystal Palace,24,22,"1,922",21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,0.05,0,0.05,0.05,,,,,,,,0.0,297.0,0.0,93.5
Richarlison,FW,Tottenham,15,4,504,5.6,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.71,0.18,0.89,0.71,,,,,,,,0.0,297.0,0.0,43.0
Andrew Robertson,DF,Liverpool,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0,0.04,0.04,0,,,,,,,,0.0,297.0,0.0,93.5
Antonee Robinson,DF,Fulham,36,35,"3,167",35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0,0.28,0.28,0,,,,,,,,0.0,297.0,0.0,93.5
Jay Robinson,"MF,FW",Southampton,4,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0.7,0.7,3,1,10,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Rodri,MF,Manchester City,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Guido Rodríguez,MF,West Ham,23,16,"1,149",12.8,0,1,1,0,0,0,6,0,0.2,0.2,0.2,0.4,4,33,7,0,0.08,0.08,0,,,,,,,,0.0,297.0,0.0,56.5
Mads Roerslev,DF,Brentford,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3,3.2,17,51,54,0,0.16,0.16,0,,,,,,,,0.0,297.0,0.0,93.5
Morgan Rogers,"FW,MF",Aston Villa,37,37,"3,114",34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.23,0.29,0.52,0.23,,,,,,,,0.0,297.0,0.0,30.5
Cristian Romero,DF,Tottenham,18,18,"1,416",15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0,0.06,0.06,,,,,,,,0.0,297.0,0.0,93.5
Georginio Rutter,"MF,FW",Brighton,28,19,"1,656",18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,,,,,,,,0.0,297.0,0.0,22.5
José Sá,GK,Wolves,29,29,"2,609",29,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,2,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Bukayo Saka,"FW,MF",Arsenal,25,20,"1,729",19.2,6,10,16,5,1,1,3,0,6.8,6,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,,,,,,,,0.0,297.0,0.0,30.5
Mohamed Salah,FW,Liverpool,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,,,,,,,,0.0,297.0,0.0,43.0
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
William Saliba,DF,Arsenal,35,35,"3,039",33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0,0.06,0.06,,,,,,,,0.0,297.0,0.0,93.5
Robert Sánchez,GK,Chelsea,32,32,"2,880",32,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Jadon Sancho,FW,Chelsea,31,19,"1,764",19.6,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,102,90,225,0.15,0.2,0.36,0.15,,,,,,,,0.0,297.0,0.0,43.0
Ibrahim Sangaré,MF,Nott'ham Forest,13,7,590,6.6,0,1,1,0,0,0,3,0,0,0,0.4,0.4,1,27,4,0,0.15,0.15,0,,,,,,,,0.0,297.0,0.0,56.5
Pablo Sarabia,"MF,FW",Wolves,23,7,814,9,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.6,15,60,62,0.33,0.22,0.55,0.33,,,,,,,,0.0,297.0,0.0,22.5
Jeremy Sarmiento,MF,Brighton,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Ismaila Sarr,MF,Crystal Palace,38,30,"2,711",30.1,8,6,14,8,0,0,4,0,10.7,10.7,8.5,19.2,75,85,183,0.27,0.2,0.46,0.27,,,,,,,,0.0,297.0,0.0,56.5
Sávio,"FW,MF",Manchester City,29,21,"1,766",19.6,1,8,9,1,0,0,3,0,5,5,6.9,11.9,137,67,246,0.05,0.41,0.46,0.05,,,,,,,,0.0,297.0,0.0,30.5
Oliver Scarles,"DF,FW",West Ham,15,7,665,7.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,12,22,44,0,0,0,0,,,,,,,,0.0,297.0,0.0,4.0
Dane Scarlett,"FW,MF",Tottenham,3,0,34,0.4,0,1,1,0,0,0,0,0,0,0,0,0.1,1,1,1,0,2.65,2.65,0,,,,,,,,0.0,297.0,0.0,30.5
Kevin Schade,FW,Brentford,38,26,"2,293",25.5,11,2,13,11,0,0,3,0,8.2,8.2,3.7,11.9,61,38,165,0.43,0.08,0.51,0.43,,,,,,,,0.0,297.0,0.0,43.0
Fabian Schär,DF,Newcastle Utd,34,33,"2,934",32.6,4,0,4,4,0,0,9,1,3.7,3.7,0.4,4.1,18,118,22,0.12,0,0.12,0.12,,,,,,,,0.0,297.0,0.0,93.5
Jeffrey Schlupp,"MF,DF",Crystal Palace,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0,0,0,0,,,,,,,,0.0,297.0,0.0,7.0
Alex Scott,MF,Bournemouth,20,8,755,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Matz Sels,GK,Nott'ham Forest,38,38,"3,420",38,0,0,0,0,0,0,4,0,0,0,0.4,0.4,1,2,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Nélson Semedo,DF,Wolves,34,32,"2,886",32.1,0,4,4,0,0,0,8,0,0.9,0.9,2.8,3.7,67,80,119,0,0.12,0.12,0,,,,,,,,0.0,297.0,0.0,93.5
Antoine Semenyo,FW,Bournemouth,37,36,"3,203",35.6,11,5,16,11,0,0,9,0,10,10,5.8,15.8,140,109,282,0.31,0.14,0.45,0.31,,,,,,,,0.0,297.0,0.0,43.0
Marcos Senesi,DF,Bournemouth,17,13,"1,106",12.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,62,7,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Ryan Sessegnon,"FW,DF",Fulham,16,7,580,6.4,4,2,6,4,0,0,1,0,1.6,1.6,1.1,2.7,18,22,59,0.62,0.31,0.93,0.62,,,,,,,,0.0,297.0,0.0,4.0
Luke Shaw,DF,Manchester Utd,7,4,349,3.9,0,0,0,0,0,0,1,0,0,0,0.7,0.7,7,24,7,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Zain Silcott-Duberry,FW,Bournemouth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Bernardo Silva,"MF,FW",Manchester City,33,29,"2,670",29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9,101,134,200,0.13,0.13,0.27,0.13,,,,,,,,0.0,297.0,0.0,22.5
Jota Silva,"FW,MF",Nott'ham Forest,31,5,854,9.5,3,1,4,3,0,0,5,0,2.1,2.1,2.9,5,21,18,59,0.32,0.11,0.42,0.32,,,,,,,,0.0,297.0,0.0,30.5
Eric da Silva Moreira,"MF,DF",Nott'ham Forest,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,7.0
Jahmai Simpson-Pusey,DF,Manchester City,2,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Luis Sinisterra,"FW,MF",Bournemouth,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,,,,,,,,0.0,297.0,0.0,30.5
Oliver Skipp,MF,Leicester City,24,10,"1,129",12.5,0,0,0,0,0,0,8,0,0.4,0.4,0.3,0.6,16,35,19,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
William Smallbone,MF,Southampton,18,6,690,7.7,1,0,1,1,0,0,1,0,0.6,0.6,0.7,1.3,5,27,25,0.13,0,0.13,0.13,,,,,,,,0.0,297.0,0.0,56.5
Adam Smith,DF,Bournemouth,25,19,"1,590",17.7,0,0,0,0,0,0,7,0,0.7,0.7,0.4,1.1,15,49,34,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Emile Smith Rowe,MF,Fulham,34,25,"2,043",22.7,6,3,9,6,0,0,3,0,4.5,4.5,1.4,6,53,126,127,0.26,0.13,0.4,0.26,,,,,,,,0.0,297.0,0.0,56.5
Dominic Solanke,FW,Tottenham,27,25,"2,201",24.5,9,3,12,8,1,1,0,0,10.9,10.1,2.9,13.1,31,47,88,0.37,0.12,0.49,0.33,,,,,,,,0.0,297.0,0.0,43.0
Carlos Soler,"MF,FW",West Ham,31,14,"1,409",15.7,1,1,2,1,0,0,6,0,1.8,1.8,1.4,3.2,17,56,37,0.06,0.06,0.13,0.06,,,,,,,,0.0,297.0,0.0,22.5
Julio Soler,"DF,FW",Bournemouth,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,0.0,297.0,0.0,4.0
Ramón Sosa,"FW,MF",Nott'ham Forest,19,1,295,3.3,1,0,1,1,0,0,1,0,1,1,0.5,1.5,12,6,17,0.31,0,0.31,0.31,,,,,,,,0.0,297.0,0.0,30.5
Tomáš Souček,MF,West Ham,35,30,"2,567",28.5,9,1,10,9,0,0,8,0,6.7,6.7,1,7.8,9,74,68,0.32,0.04,0.35,0.32,,,,,,,,0.0,297.0,0.0,56.5
Boubakary Soumaré,MF,Leicester City,31,25,"2,171",24.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,34,105,23,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Djed Spence,DF,Tottenham,25,19,"1,792",19.9,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,59,105,70,0.05,0.1,0.15,0.05,,,,,,,,0.0,297.0,0.0,93.5
Jay Stansfield,MF,Fulham,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Jason Steele,GK,Brighton,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Jack Stephens,DF,Southampton,19,17,"1,389",15.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,14,63,2,0.06,0,0.06,0.06,,,,,,,,0.0,297.0,0.0,93.5
Raheem Sterling,"FW,MF",Arsenal,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0,0.36,0.36,0,,,,,,,,0.0,297.0,0.0,30.5
Ross Stewart,FW,Southampton,12,4,389,4.3,1,0,1,1,0,0,1,0,1.1,1.1,0,1.1,3,2,10,0.23,0,0.23,0.23,,,,,,,,0.0,297.0,0.0,43.0
Jakub Stolarczyk,GK,Leicester City,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
John Stones,"DF,MF",Manchester City,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0,0.33,0.33,,,,,,,,0.0,297.0,0.0,8.5
Jørgen Strand Larsen,FW,Wolves,35,30,"2,587",28.7,14,4,18,14,0,0,4,0,10.3,10.3,3,13.3,17,29,112,0.49,0.14,0.63,0.49,,,,,,,,0.0,297.0,0.0,43.0
Yukinari Sugawara,"DF,MF",Southampton,30,16,"1,557",17.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,33,72,78,0.06,0.06,0.12,0.06,,,,,,,,0.0,297.0,0.0,8.5
Kamaldeen Sulemana,"FW,MF",Southampton,26,17,"1,402",15.6,1,1,2,1,0,0,2,0,1.5,1.5,1,2.5,63,27,87,0.06,0.06,0.13,0.06,,,,,,,,0.0,297.0,0.0,30.5
Crysencio Summerville,"FW,MF",West Ham,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,,,,,,,,0.0,297.0,0.0,30.5
Sammie Szmodics,"FW,MF",Ipswich Town,20,13,992,11,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,19,47,0.36,0,0.36,0.36,,,,,,,,0.0,297.0,0.0,30.5
Dominik Szoboszlai,MF,Liverpool,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,,,,,,,,0.0,297.0,0.0,56.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Matt Targett,DF,Newcastle Utd,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
James Tarkowski,DF,Everton,33,33,"2,922",32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,,,,,,,,0.0,297.0,0.0,93.5
Marcus Tavernier,"FW,MF",Bournemouth,29,20,"1,939",21.5,3,5,8,3,0,0,6,0,5.5,5.5,4,9.5,53,128,129,0.14,0.23,0.37,0.14,,,,,,,,0.0,297.0,0.0,30.5
Charlie Taylor,DF,Southampton,8,3,356,4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,9,7,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Jack Taylor,MF,Ipswich Town,32,4,860,9.6,1,0,1,1,0,0,4,0,0.7,0.7,0.5,1.3,11,43,23,0.1,0,0.1,0.1,,,,,,,,0.0,297.0,0.0,56.5
Mathys Tel,FW,Tottenham,13,11,911,10.1,2,1,3,1,1,1,2,0,3,2.2,2.6,4.7,28,21,72,0.2,0.1,0.3,0.1,,,,,,,,0.0,297.0,0.0,43.0
Kenny Tete,DF,Fulham,22,21,"1,774",19.7,0,2,2,0,0,0,5,0,1.4,1.4,0.9,2.3,34,63,54,0,0.1,0.1,0,,,,,,,,0.0,297.0,0.0,93.5
Thiago,"FW,MF",Brentford,8,1,175,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,4,8,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Luke Thomas,DF,Leicester City,14,13,"1,110",12.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,5,37,16,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Youri Tielemans,MF,Aston Villa,36,35,"3,026",33.6,3,7,10,3,0,1,4,0,3.3,2.5,7,9.5,39,235,48,0.09,0.21,0.3,0.09,,,,,,,,0.0,297.0,0.0,56.5
Kieran Tierney,"DF,FW",Arsenal,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0,0.35,0.35,,,,,,,,0.0,297.0,0.0,4.0
Jurriën Timber,DF,Arsenal,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,,,,,,,,0.0,297.0,0.0,93.5
Jean-Clair Todibo,DF,West Ham,27,20,"1,825",20.3,0,0,0,0,0,0,3,0,0.4,0.4,0,0.4,9,38,5,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Harry Toffolo,DF,Nott'ham Forest,4,1,137,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Takehiro Tomiyasu,DF,Arsenal,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Sandro Tonali,MF,Newcastle Utd,36,28,"2,630",29.2,4,2,6,4,0,0,5,0,4.4,4.4,2.2,6.6,37,128,53,0.14,0.07,0.21,0.14,,,,,,,,0.0,297.0,0.0,56.5
Pau Torres,DF,Aston Villa,24,23,"2,020",22.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,40,97,8,0,0,0,0,,,,,,,,0.0,297.0,0.0,93.5
Conor Townsend,DF,Ipswich Town,6,3,335,3.7,0,1,1,0,0,0,1,0,0,0,0.7,0.7,2,8,13,0,0.27,0.27,0,,,,,,,,0.0,297.0,0.0,93.5
Adama Traoré,"FW,MF",Fulham,36,18,"1,772",19.7,2,7,9,2,0,0,3,0,4,4,4.9,8.9,100,68,161,0.1,0.36,0.46,0.1,,,,,,,,0.0,297.0,0.0,30.5
Boubacar Traoré,MF,Wolves,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Mark Travers,GK,Bournemouth,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Ryan Trevitt,MF,Brentford,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Kieran Trippier,DF,Newcastle Utd,25,14,"1,309",14.5,0,3,3,0,0,0,1,0,0.1,0.1,1.4,1.5,26,117,58,0,0.21,0.21,0,,,,,,,,0.0,297.0,0.0,93.5
Leandro Trossard,FW,Arsenal,38,28,"2,546",28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,,,,,,,,0.0,297.0,0.0,43.0
Kostas Tsimikas,DF,Liverpool,18,9,837,9.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,17,76,43,0,0.11,0.11,0,,,,,,,,0.0,297.0,0.0,93.5
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Axel Tuanzebe,DF,Ipswich Town,22,20,"1,710",19,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,10,61,15,0,0.05,0.05,0,,,,,,,,0.0,297.0,0.0,93.5
Destiny Udogie,DF,Tottenham,25,24,"1,924",21.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,121,94,0,0.05,0.05,0,,,,,,,,0.0,297.0,0.0,93.5
Manuel Ugarte Ribeiro,MF,Manchester Utd,29,22,"1,785",19.8,1,2,3,1,0,0,11,0,1,1,1.1,2.1,16,61,20,0.05,0.1,0.15,0.05,,,,,,,,0.0,297.0,0.0,56.5
Lesley Ugochukwu,MF,Southampton,26,18,"1,655",18.4,1,1,2,1,0,0,7,0,0.9,0.9,1,1.9,29,49,20,0.05,0.05,0.11,0.05,,,,,,,,0.0,297.0,0.0,56.5
Enes Ünal,"FW,MF",Bournemouth,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,,,,,,,,0.0,297.0,0.0,30.5
Virgil van Dijk,DF,Liverpool,37,37,"3,330",37,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3,22,198,6,0.08,0.03,0.11,0.08,,,,,,,,0.0,297.0,0.0,93.5
