date,country_name,party_name,voting_intention
2021-07-23,Great Britain,Other,4.11
2021-07-23,Great Britain,Conservative,41.62
2021-07-23,Great Britain,Green Party,5.59
2021-07-23,Great Britain,Labour,33.48
2021-07-23,Great Britain,Liberal Democrats,9.13
2021-07-23,Great Britain,SNP,4.45
2021-07-21,Great Britain,Other,4.01
2021-07-21,Great Britain,Conservative,41.67
2021-07-21,Great Britain,Green Party,5.66
2021-07-21,Great Britain,Labour,33.14
2021-07-21,Great Britain,Liberal Democrats,9.21
2021-07-21,Great Britain,Reform UK,2.7
2021-07-21,Great Britain,SNP,4.48
2021-07-20,Great Britain,Other,3.94
2021-07-20,Great Britain,Conservative,41.91
2021-07-20,Great Britain,Green Party,5.45
2021-07-20,Great Britain,Labour,33.16
2021-07-20,Great Britain,Liberal Democrats,9.21
2021-07-20,Great Britain,SNP,4.48
2021-07-19,Great Britain,Other,3.94
2021-07-19,Great Britain,Conservative,42.1
2021-07-19,Great Britain,Green Party,5.44
2021-07-19,Great Britain,Labour,32.99
2021-07-19,Great Britain,Liberal Democrats,9.07
2021-07-19,Great Britain,Reform UK,2.59
2021-07-19,Great Britain,SNP,4.48
2021-07-18,Great Britain,Other,4.22
2021-07-18,Great Britain,Conservative,42.0
2021-07-18,Great Britain,Green Party,5.44
2021-07-18,Great Britain,Labour,33.11
2021-07-18,Great Britain,Liberal Democrats,9.06
2021-07-18,Great Britain,Reform UK,2.66
2021-07-18,Great Britain,SNP,4.4
2021-07-16,Great Britain,Other,4.22
2021-07-16,Great Britain,Conservative,42.11
2021-07-16,Great Britain,Green Party,5.44
2021-07-16,Great Britain,Labour,33.16
2021-07-16,Great Britain,Liberal Democrats,8.98
2021-07-16,Great Britain,Reform UK,2.73
2021-07-16,Great Britain,SNP,4.47
2021-07-13,Great Britain,Other,4.22
2021-07-13,Great Britain,Conservative,41.93
2021-07-13,Great Britain,Green Party,5.5
2021-07-13,Great Britain,Labour,33.07
2021-07-13,Great Britain,Liberal Democrats,9.05
2021-07-13,Great Britain,SNP,4.54
2021-07-12,Great Britain,Other,4.0
2021-07-12,Great Britain,Conservative,42.0
2021-07-12,Great Britain,Green Party,5.36
2021-07-12,Great Britain,Labour,33.14
2021-07-12,Great Britain,Liberal Democrats,9.12
2021-07-12,Great Britain,Reform UK,2.65
2021-07-12,Great Britain,SNP,4.47
2021-07-11,Great Britain,Other,4.2
2021-07-11,Great Britain,Conservative,42.01
2021-07-11,Great Britain,Green Party,5.38
2021-07-11,Great Britain,Labour,33.22
2021-07-11,Great Britain,Liberal Democrats,8.98
2021-07-11,Great Britain,Reform UK,2.67
2021-07-11,Great Britain,SNP,4.31
2021-07-09,Great Britain,Other,4.06
2021-07-09,Great Britain,Conservative,42.36
2021-07-09,Great Britain,Green Party,5.45
2021-07-09,Great Britain,Labour,32.94
2021-07-09,Great Britain,Liberal Democrats,8.77
2021-07-09,Great Britain,SNP,4.38
2021-07-08,Great Britain,Other,4.14
2021-07-08,Great Britain,Conservative,42.25
2021-07-08,Great Britain,Green Party,5.53
2021-07-08,Great Britain,Labour,32.82
2021-07-08,Great Britain,Liberal Democrats,8.92
2021-07-08,Great Britain,Reform UK,2.69
2021-07-08,Great Britain,SNP,4.31
2021-07-05,Great Britain,Other,3.99
2021-07-05,Great Britain,Conservative,42.49
2021-07-05,Great Britain,Green Party,5.56
2021-07-05,Great Britain,Labour,33.03
2021-07-05,Great Britain,Liberal Democrats,8.48
2021-07-05,Great Britain,Reform UK,2.73
2021-07-05,Great Britain,SNP,4.27
2021-07-04,Great Britain,Other,4.09
2021-07-04,Great Britain,Conservative,42.46
2021-07-04,Great Britain,Green Party,5.53
2021-07-04,Great Britain,Labour,33.05
2021-07-04,Great Britain,Liberal Democrats,8.52
2021-07-04,Great Britain,Reform UK,2.59
2021-07-04,Great Britain,SNP,4.32
2021-07-02,Great Britain,Other,3.95
2021-07-02,Great Britain,Conservative,42.82
2021-07-02,Great Britain,Green Party,5.6
2021-07-02,Great Britain,Labour,32.98
2021-07-02,Great Britain,Liberal Democrats,8.44
2021-07-02,Great Britain,SNP,4.24
2021-06-30,Great Britain,Other,4.02
2021-06-30,Great Britain,Conservative,42.75
2021-06-30,Great Britain,Green Party,5.75
2021-06-30,Great Britain,Labour,33.05
2021-06-30,Great Britain,Liberal Democrats,8.16
2021-06-30,Great Britain,Reform UK,2.45
2021-06-30,Great Britain,SNP,4.32
2021-06-28,Great Britain,Other,4.08
2021-06-28,Great Britain,Conservative,42.78
2021-06-28,Great Britain,Green Party,5.83
2021-06-28,Great Britain,Labour,33.13
2021-06-28,Great Britain,Liberal Democrats,8.0
2021-06-28,Great Britain,Reform UK,2.45
2021-06-28,Great Britain,SNP,4.28
2021-06-27,Great Britain,Other,4.12
2021-06-27,Great Britain,Conservative,42.99
2021-06-27,Great Britain,Green Party,5.87
2021-06-27,Great Britain,Labour,33.09
2021-06-27,Great Britain,Liberal Democrats,7.89
2021-06-27,Great Britain,Reform UK,2.38
2021-06-27,Great Britain,SNP,4.23
2021-06-26,Great Britain,Other,4.05
2021-06-26,Great Britain,Conservative,43.16
2021-06-26,Great Britain,Green Party,5.87
2021-06-26,Great Britain,Labour,33.04
2021-06-26,Great Britain,Liberal Democrats,7.83
2021-06-26,Great Britain,SNP,4.24
2021-06-25,Great Britain,Other,3.77
2021-06-25,Great Britain,Conservative,43.48
2021-06-25,Great Britain,Green Party,6.09
2021-06-25,Great Britain,Labour,32.89
2021-06-25,Great Britain,Liberal Democrats,7.55
2021-06-25,Great Britain,SNP,4.35
2021-06-24,Great Britain,Other,3.84
2021-06-24,Great Britain,Conservative,43.37
2021-06-24,Great Britain,Green Party,6.17
2021-06-24,Great Britain,Labour,32.77
2021-06-24,Great Britain,Liberal Democrats,7.7
2021-06-24,Great Britain,Reform UK,2.37
2021-06-24,Great Britain,SNP,4.28
2021-06-24,Scotland,Other,1.73
2021-06-24,Scotland,Conservative,22.56
2021-06-24,Scotland,Labour,19.48
2021-06-24,Scotland,Liberal Democrats,6.05
2021-06-24,Scotland,SNP,48.18
2021-06-21,Great Britain,Other,3.77
2021-06-21,Great Britain,Conservative,43.55
2021-06-21,Great Britain,Green Party,6.02
2021-06-21,Great Britain,Labour,33.03
2021-06-21,Great Britain,Liberal Democrats,7.62
2021-06-21,Great Britain,Reform UK,2.3
2021-06-21,Great Britain,SNP,4.2
2021-06-20,Great Britain,Other,3.92
2021-06-20,Great Britain,Conservative,43.47
2021-06-20,Great Britain,Green Party,6.1
2021-06-20,Great Britain,Labour,33.0
2021-06-20,Great Britain,Liberal Democrats,7.56
2021-06-20,Great Britain,Reform UK,2.22
2021-06-20,Great Britain,SNP,4.21
2021-06-17,Great Britain,Other,3.82
2021-06-17,Great Britain,Conservative,43.48
2021-06-17,Great Britain,Green Party,6.19
2021-06-17,Great Britain,Labour,32.99
2021-06-17,Great Britain,Liberal Democrats,7.4
2021-06-17,Great Britain,Reform UK,2.26
2021-06-17,Great Britain,SNP,4.35
2021-06-15,Great Britain,Other,3.9
2021-06-15,Great Britain,Conservative,43.47
2021-06-15,Great Britain,Green Party,6.13
2021-06-15,Great Britain,Labour,33.18
2021-06-15,Great Britain,Liberal Democrats,7.56
2021-06-15,Great Britain,SNP,4.29
2021-06-14,Great Britain,Other,3.68
2021-06-14,Great Britain,Conservative,43.55
2021-06-14,Great Britain,Green Party,5.97
2021-06-14,Great Britain,Labour,33.13
2021-06-14,Great Britain,Liberal Democrats,7.69
2021-06-14,Great Britain,Reform UK,2.12
2021-06-14,Great Britain,SNP,4.28
2021-06-13,Great Britain,Other,3.96
2021-06-13,Great Britain,Conservative,43.38
2021-06-13,Great Britain,Green Party,5.76
2021-06-13,Great Britain,Labour,33.11
2021-06-13,Great Britain,Liberal Democrats,7.96
2021-06-13,Great Britain,Reform UK,2.05
2021-06-13,Great Britain,SNP,4.21
2021-06-12,Great Britain,Other,3.86
2021-06-12,Great Britain,Conservative,43.69
2021-06-12,Great Britain,Green Party,5.94
2021-06-12,Great Britain,Labour,32.7
2021-06-12,Great Britain,Liberal Democrats,7.94
2021-06-12,Great Britain,Reform UK,2.05
2021-06-12,Great Britain,SNP,4.24
2021-06-11,Great Britain,Other,3.79
2021-06-11,Great Britain,Conservative,43.4
2021-06-11,Great Britain,Green Party,6.01
2021-06-11,Great Britain,Labour,32.63
2021-06-11,Great Britain,Liberal Democrats,8.16
2021-06-11,Great Britain,SNP,4.39
2021-06-10,Great Britain,Other,3.87
2021-06-10,Great Britain,Conservative,43.43
2021-06-10,Great Britain,Green Party,5.87
2021-06-10,Great Britain,Labour,32.51
2021-06-10,Great Britain,Liberal Democrats,8.3
2021-06-10,Great Britain,Reform UK,1.91
2021-06-10,Great Britain,SNP,4.25
2021-06-07,Great Britain,Other,3.67
2021-06-07,Great Britain,Conservative,43.44
2021-06-07,Great Britain,Green Party,6.0
2021-06-07,Great Britain,Labour,32.34
2021-06-07,Great Britain,Liberal Democrats,8.53
2021-06-07,Great Britain,Reform UK,1.89
2021-06-07,Great Britain,SNP,4.28
2021-06-06,Great Britain,Other,3.9
2021-06-06,Great Britain,Conservative,43.38
2021-06-06,Great Britain,Green Party,6.09
2021-06-06,Great Britain,Labour,32.13
2021-06-06,Great Britain,Liberal Democrats,8.55
2021-06-06,Great Britain,Reform UK,1.92
2021-06-06,Great Britain,SNP,4.32
2021-06-03,Great Britain,Other,3.76
2021-06-03,Great Britain,Conservative,43.46
2021-06-03,Great Britain,Green Party,6.3
2021-06-03,Great Britain,Labour,31.98
2021-06-03,Great Britain,Liberal Democrats,8.48
2021-06-03,Great Britain,Reform UK,1.91
2021-06-03,Great Britain,SNP,4.39
2021-06-02,Great Britain,Other,3.76
2021-06-02,Great Britain,Conservative,43.42
2021-06-02,Great Britain,Green Party,6.08
2021-06-02,Great Britain,Labour,32.06
2021-06-02,Great Britain,Liberal Democrats,8.62
2021-06-02,Great Britain,SNP,4.35
2021-05-31,Great Britain,Other,3.75
2021-05-31,Great Britain,Conservative,43.44
2021-05-31,Great Britain,Green Party,5.93
2021-05-31,Great Britain,Labour,32.09
2021-05-31,Great Britain,Liberal Democrats,8.53
2021-05-31,Great Britain,Reform UK,2.08
2021-05-31,Great Britain,SNP,4.42
2021-05-30,Great Britain,Other,3.85
2021-05-30,Great Britain,Conservative,43.33
2021-05-30,Great Britain,Green Party,5.97
2021-05-30,Great Britain,Labour,32.09
2021-05-30,Great Britain,Liberal Democrats,8.43
2021-05-30,Great Britain,Reform UK,2.09
2021-05-30,Great Britain,SNP,4.45
2021-05-28,Great Britain,Other,3.64
2021-05-28,Great Britain,Conservative,43.19
2021-05-28,Great Britain,Green Party,5.97
2021-05-28,Great Britain,Labour,32.52
2021-05-28,Great Britain,Liberal Democrats,8.28
2021-05-28,Great Britain,Reform UK,2.09
2021-05-28,Great Britain,SNP,4.45
2021-05-26,Great Britain,Other,3.73
2021-05-26,Great Britain,Conservative,43.02
2021-05-26,Great Britain,Green Party,5.81
2021-05-26,Great Britain,Labour,32.8
2021-05-26,Great Britain,Liberal Democrats,8.3
2021-05-26,Great Britain,SNP,4.39
2021-05-24,Great Britain,Other,3.73
2021-05-24,Great Britain,Conservative,42.79
2021-05-24,Great Britain,Green Party,5.67
2021-05-24,Great Britain,Labour,33.14
2021-05-24,Great Britain,Liberal Democrats,8.19
2021-05-24,Great Britain,Reform UK,2.06
2021-05-24,Great Britain,SNP,4.42
2021-05-23,Great Britain,Other,3.83
2021-05-23,Great Britain,Conservative,42.6
2021-05-23,Great Britain,Green Party,5.76
2021-05-23,Great Britain,Labour,33.4
2021-05-23,Great Britain,Liberal Democrats,8.03
2021-05-23,Great Britain,Reform UK,1.94
2021-05-23,Great Britain,SNP,4.44
2021-05-20,Great Britain,Other,3.55
2021-05-20,Great Britain,Conservative,42.73
2021-05-20,Great Britain,Green Party,5.98
2021-05-20,Great Britain,Labour,33.38
2021-05-20,Great Britain,Liberal Democrats,7.9
2021-05-20,Great Britain,Reform UK,2.01
2021-05-20,Great Britain,SNP,4.45
2021-05-17,Great Britain,Other,3.58
2021-05-17,Great Britain,Conservative,42.33
2021-05-17,Great Britain,Green Party,5.83
2021-05-17,Great Britain,Labour,33.79
2021-05-17,Great Britain,Liberal Democrats,7.97
2021-05-17,Great Britain,Reform UK,2.08
2021-05-17,Great Britain,SNP,4.42
2021-05-16,Great Britain,Other,3.72
2021-05-16,Great Britain,Conservative,42.33
2021-05-16,Great Britain,Green Party,5.61
2021-05-16,Great Britain,Labour,33.93
2021-05-16,Great Britain,Liberal Democrats,7.83
2021-05-16,Great Britain,Reform UK,2.08
2021-05-16,Great Britain,SNP,4.49
2021-05-15,Great Britain,Other,3.72
2021-05-15,Great Britain,Conservative,42.37
2021-05-15,Great Britain,Green Party,5.61
2021-05-15,Great Britain,Labour,33.98
2021-05-15,Great Britain,Liberal Democrats,7.75
2021-05-15,Great Britain,Reform UK,1.94
2021-05-15,Great Britain,SNP,4.63
2021-05-14,Great Britain,Other,3.93
2021-05-14,Great Britain,Conservative,42.29
2021-05-14,Great Britain,Green Party,5.39
2021-05-14,Great Britain,Labour,34.36
2021-05-14,Great Britain,Liberal Democrats,7.44
2021-05-14,Great Britain,Reform UK,1.94
2021-05-14,Great Britain,SNP,4.66
2021-05-12,Great Britain,Other,3.88
2021-05-12,Great Britain,Conservative,42.07
2021-05-12,Great Britain,Green Party,5.3
2021-05-12,Great Britain,Labour,34.54
2021-05-12,Great Britain,Liberal Democrats,7.52
2021-05-12,Great Britain,Reform UK,2.1
2021-05-12,Great Britain,SNP,4.59
2021-05-10,Great Britain,Other,4.09
2021-05-10,Great Britain,Conservative,41.93
2021-05-10,Great Britain,Green Party,5.02
2021-05-10,Great Britain,Labour,34.82
2021-05-10,Great Britain,Liberal Democrats,7.52
2021-05-10,Great Britain,Reform UK,2.03
2021-05-10,Great Britain,SNP,4.59
2021-05-09,Great Britain,Other,4.17
2021-05-09,Great Britain,Conservative,41.81
2021-05-09,Great Britain,Green Party,5.24
2021-05-09,Great Britain,Labour,34.49
2021-05-09,Great Britain,Liberal Democrats,7.53
2021-05-09,Great Britain,Reform UK,2.11
2021-05-09,Great Britain,SNP,4.66
2021-05-05,Great Britain,Other,3.95
2021-05-05,Great Britain,Conservative,41.89
2021-05-05,Great Britain,Green Party,5.31
2021-05-05,Great Britain,Labour,34.63
2021-05-05,Great Britain,Liberal Democrats,7.46
2021-05-05,Great Britain,Reform UK,2.18
2021-05-05,Great Britain,SNP,4.59
2021-05-04,Scotland,Other,1.58
2021-05-04,Scotland,Conservative,22.41
2021-05-04,Scotland,Green Party,2.22
2021-05-04,Scotland,Labour,19.7
2021-05-04,Scotland,Liberal Democrats,6.05
2021-05-04,Scotland,SNP,48.25
2021-05-04,Wales,Other,1.86
2021-05-04,Wales,Conservative,34.83
2021-05-04,Wales,Green Party,2.57
2021-05-04,Wales,Labour,37.83
2021-05-04,Wales,Liberal Democrats,4.71
2021-05-04,Wales,Plaid Cymru,13.57
2021-05-04,Wales,Reform UK,5.63
2021-05-03,Great Britain,Other,4.2
2021-05-03,Great Britain,Conservative,41.75
2021-05-03,Great Britain,Green Party,5.2
2021-05-03,Great Britain,Labour,34.67
2021-05-03,Great Britain,Liberal Democrats,7.49
2021-05-03,Great Britain,Reform UK,2.08
2021-05-03,Great Britain,SNP,4.62
2021-05-03,Scotland,Other,1.65
2021-05-03,Scotland,Conservative,22.2
2021-05-03,Scotland,Green Party,2.18
2021-05-03,Scotland,Labour,19.95
2021-05-03,Scotland,Liberal Democrats,6.13
2021-05-03,Scotland,SNP,48.25
2021-05-02,Great Britain,Other,4.36
2021-05-02,Great Britain,Conservative,41.96
2021-05-02,Great Britain,Green Party,5.12
2021-05-02,Great Britain,Labour,34.42
2021-05-02,Great Britain,Liberal Democrats,7.46
2021-05-02,Great Britain,Reform UK,2.18
2021-05-02,Great Britain,SNP,4.5
2021-04-30,Great Britain,Other,4.28
2021-04-30,Great Britain,Conservative,42.25
2021-04-30,Great Britain,Green Party,5.11
2021-04-30,Great Britain,Labour,34.37
2021-04-30,Great Britain,Liberal Democrats,7.31
2021-04-30,Great Britain,Reform UK,2.04
2021-04-30,Great Britain,SNP,4.64
2021-04-30,Scotland,Other,1.8
2021-04-30,Scotland,Conservative,21.83
2021-04-30,Scotland,Green Party,2.33
2021-04-30,Scotland,Labour,20.0
2021-04-30,Scotland,Liberal Democrats,6.12
2021-04-30,Scotland,SNP,48.5
2021-04-29,Great Britain,Other,4.28
2021-04-29,Great Britain,Conservative,42.27
2021-04-29,Great Britain,Green Party,5.26
2021-04-29,Great Britain,Labour,34.1
2021-04-29,Great Britain,Liberal Democrats,7.28
2021-04-29,Great Britain,Reform UK,2.15
2021-04-29,Great Britain,SNP,4.67
2021-04-28,Great Britain,Other,4.12
2021-04-28,Great Britain,Conservative,42.56
2021-04-28,Great Britain,Green Party,5.17
2021-04-28,Great Britain,Labour,33.93
2021-04-28,Great Britain,Liberal Democrats,7.38
2021-04-28,Great Britain,Reform UK,2.2
2021-04-28,Great Britain,SNP,4.65
2021-04-26,Great Britain,Other,4.33
2021-04-26,Great Britain,Conservative,42.45
2021-04-26,Great Britain,Green Party,4.88
2021-04-26,Great Britain,Labour,34.1
2021-04-26,Great Britain,Liberal Democrats,7.45
2021-04-26,Great Britain,Reform UK,2.13
2021-04-26,Great Britain,SNP,4.66
2021-04-26,Scotland,Other,1.87
2021-04-26,Scotland,Conservative,21.92
2021-04-26,Scotland,Green Party,2.33
2021-04-26,Scotland,Labour,20.02
2021-04-26,Scotland,Liberal Democrats,5.98
2021-04-26,Scotland,SNP,48.68
2021-04-25,Great Britain,Other,4.38
2021-04-25,Great Britain,Conservative,42.53
2021-04-25,Great Britain,Green Party,4.89
2021-04-25,Great Britain,Labour,34.1
2021-04-25,Great Britain,Liberal Democrats,7.3
2021-04-25,Great Britain,Reform UK,2.13
2021-04-25,Great Britain,SNP,4.69
2021-04-23,Great Britain,Other,4.23
2021-04-23,Great Britain,Conservative,42.56
2021-04-23,Great Britain,Green Party,4.96
2021-04-23,Great Britain,Labour,34.06
2021-04-23,Great Britain,Liberal Democrats,7.31
2021-04-23,Great Britain,Reform UK,2.13
2021-04-23,Great Britain,SNP,4.74
2021-04-22,Great Britain,Other,4.16
2021-04-22,Great Britain,Conservative,42.59
2021-04-22,Great Britain,Green Party,4.89
2021-04-22,Great Britain,Labour,34.3
2021-04-22,Great Britain,Liberal Democrats,7.25
2021-04-22,Great Britain,Reform UK,2.34
2021-04-22,Great Britain,SNP,4.46
2021-04-22,Scotland,Other,1.71
2021-04-22,Scotland,Conservative,21.73
2021-04-22,Scotland,Green Party,2.36
2021-04-22,Scotland,Labour,19.73
2021-04-22,Scotland,Liberal Democrats,5.72
2021-04-22,Scotland,SNP,49.26
2021-04-21,Wales,Other,1.71
2021-04-21,Wales,Conservative,34.31
2021-04-21,Wales,Green Party,2.64
2021-04-21,Wales,Labour,36.95
2021-04-21,Wales,Liberal Democrats,5.63
2021-04-21,Wales,Plaid Cymru,13.41
2021-04-21,Wales,Reform UK,6.64
2021-04-20,Scotland,Other,1.86
2021-04-20,Scotland,Conservative,21.51
2021-04-20,Scotland,Green Party,2.43
2021-04-20,Scotland,Labour,19.58
2021-04-20,Scotland,Liberal Democrats,5.72
2021-04-20,Scotland,SNP,49.61
2021-04-19,Great Britain,Other,4.17
2021-04-19,Great Britain,Conservative,42.59
2021-04-19,Great Britain,Green Party,4.89
2021-04-19,Great Britain,Labour,34.26
2021-04-19,Great Britain,Liberal Democrats,7.28
2021-04-19,Great Britain,Reform UK,2.34
2021-04-19,Great Britain,SNP,4.46
2021-04-19,Wales,Other,1.57
2021-04-19,Wales,Conservative,33.68
2021-04-19,Wales,Green Party,2.57
2021-04-19,Wales,Labour,35.9
2021-04-19,Wales,Liberal Democrats,6.64
2021-04-19,Wales,Plaid Cymru,13.21
2021-04-18,Great Britain,Other,3.93
2021-04-18,Great Britain,Conservative,42.66
2021-04-18,Great Britain,Green Party,4.91
2021-04-18,Great Britain,Labour,34.43
2021-04-18,Great Britain,Liberal Democrats,7.27
2021-04-18,Great Britain,Reform UK,2.32
2021-04-18,Great Britain,SNP,4.47
2021-04-14,Great Britain,Other,3.86
2021-04-14,Great Britain,Conservative,42.59
2021-04-14,Great Britain,Green Party,4.84
2021-04-14,Great Britain,Labour,34.72
2021-04-14,Great Britain,Liberal Democrats,7.19
2021-04-14,Great Britain,Reform UK,2.39
2021-04-14,Great Britain,SNP,4.4
2021-04-12,Great Britain,Other,3.83
2021-04-12,Great Britain,Conservative,42.43
2021-04-12,Great Britain,Green Party,4.73
2021-04-12,Great Britain,Labour,35.16
2021-04-12,Great Britain,Liberal Democrats,7.11
2021-04-12,Great Britain,Reform UK,2.39
2021-04-12,Great Britain,SNP,4.36
2021-04-11,Great Britain,Other,3.83
2021-04-11,Great Britain,Conservative,42.36
2021-04-11,Great Britain,Green Party,4.73
2021-04-11,Great Britain,Labour,35.23
2021-04-11,Great Britain,Liberal Democrats,7.11
2021-04-11,Great Britain,Reform UK,2.32
2021-04-11,Great Britain,SNP,4.43
2021-04-10,Great Britain,Other,3.41
2021-04-10,Great Britain,Conservative,42.52
2021-04-10,Great Britain,Green Party,4.81
2021-04-10,Great Britain,Labour,35.38
2021-04-10,Great Britain,Liberal Democrats,7.12
2021-04-10,Great Britain,Reform UK,2.39
2021-04-10,Great Britain,SNP,4.37
2021-04-09,Great Britain,Other,3.47
2021-04-09,Great Britain,Conservative,42.21
2021-04-09,Great Britain,Green Party,4.82
2021-04-09,Great Britain,Labour,35.52
2021-04-09,Great Britain,Liberal Democrats,7.22
2021-04-09,Great Britain,Reform UK,2.29
2021-04-09,Great Britain,SNP,4.48
2021-04-08,Great Britain,Other,3.36
2021-04-08,Great Britain,Conservative,42.18
2021-04-08,Great Britain,Green Party,4.86
2021-04-08,Great Britain,Labour,35.67
2021-04-08,Great Britain,Liberal Democrats,7.22
2021-04-08,Great Britain,Reform UK,2.29
2021-04-08,Great Britain,SNP,4.42
2021-04-06,Scotland,Other,1.79
2021-04-06,Scotland,Conservative,21.12
2021-04-06,Scotland,Green Party,2.36
2021-04-06,Scotland,Labour,19.32
2021-04-06,Scotland,Liberal Democrats,5.94
2021-04-06,Scotland,SNP,50.26
2021-04-05,Great Britain,Other,3.33
2021-04-05,Great Britain,Conservative,42.29
2021-04-05,Great Britain,Green Party,4.82
2021-04-05,Great Britain,Labour,35.6
2021-04-05,Great Britain,Liberal Democrats,7.37
2021-04-05,Great Britain,Reform UK,2.21
2021-04-05,Great Britain,SNP,4.38
2021-04-04,Great Britain,Other,3.25
2021-04-04,Great Britain,Conservative,42.36
2021-04-04,Great Britain,Green Party,4.75
2021-04-04,Great Britain,Labour,35.74
2021-04-04,Great Britain,Liberal Democrats,7.22
2021-04-04,Great Britain,Reform UK,2.29
2021-04-04,Great Britain,SNP,4.38
2021-04-01,Great Britain,Other,3.24
2021-04-01,Great Britain,Conservative,42.27
2021-04-01,Great Britain,Green Party,4.81
2021-04-01,Great Britain,Labour,35.74
2021-04-01,Great Britain,Liberal Democrats,7.21
2021-04-01,Great Britain,Reform UK,2.35
2021-04-01,Great Britain,SNP,4.37
2021-03-30,Scotland,Other,1.86
2021-03-30,Scotland,Conservative,20.8
2021-03-30,Scotland,Green Party,2.43
2021-03-30,Scotland,Labour,19.44
2021-03-30,Scotland,Liberal Democrats,6.07
2021-03-30,Scotland,SNP,50.26
2021-03-29,Great Britain,Other,3.17
2021-03-29,Great Britain,Conservative,42.49
2021-03-29,Great Britain,Green Party,4.89
2021-03-29,Great Britain,Labour,35.59
2021-03-29,Great Britain,Liberal Democrats,7.13
2021-03-29,Great Britain,Reform UK,2.35
2021-03-29,Great Britain,SNP,4.37
2021-03-27,Great Britain,Other,3.03
2021-03-27,Great Britain,Conservative,42.63
2021-03-27,Great Britain,Green Party,4.82
2021-03-27,Great Britain,Labour,35.87
2021-03-27,Great Britain,Liberal Democrats,7.06
2021-03-27,Great Britain,Reform UK,2.35
2021-03-27,Great Britain,SNP,4.25
2021-03-26,Great Britain,Other,2.96
2021-03-26,Great Britain,Conservative,42.55
2021-03-26,Great Britain,Green Party,4.75
2021-03-26,Great Britain,Labour,35.87
2021-03-26,Great Britain,Liberal Democrats,7.13
2021-03-26,Great Britain,Reform UK,2.35
2021-03-26,Great Britain,SNP,4.39
2021-03-22,Great Britain,Other,2.92
2021-03-22,Great Britain,Conservative,42.63
2021-03-22,Great Britain,Green Party,4.68
2021-03-22,Great Britain,Labour,36.05
2021-03-22,Great Britain,Liberal Democrats,7.06
2021-03-22,Great Britain,Reform UK,2.35
2021-03-22,Great Britain,SNP,4.31
2021-03-22,Scotland,Other,1.93
2021-03-22,Scotland,Conservative,20.74
2021-03-22,Scotland,Green Party,2.58
2021-03-22,Scotland,Labour,19.09
2021-03-22,Scotland,Liberal Democrats,5.86
2021-03-22,Scotland,SNP,50.65
2021-03-21,Great Britain,Other,3.2
2021-03-21,Great Britain,Conservative,42.66
2021-03-21,Great Britain,Green Party,4.68
2021-03-21,Great Britain,Labour,35.93
2021-03-21,Great Britain,Liberal Democrats,6.93
2021-03-21,Great Britain,Reform UK,2.43
2021-03-21,Great Britain,SNP,4.39
2021-03-19,Great Britain,Other,3.05
2021-03-19,Great Britain,Conservative,42.58
2021-03-19,Great Britain,Green Party,4.87
2021-03-19,Great Britain,Labour,35.67
2021-03-19,Great Britain,Liberal Democrats,7.17
2021-03-19,Great Britain,Reform UK,2.5
2021-03-19,Great Britain,SNP,4.39
2021-03-19,Scotland,Other,1.86
2021-03-19,Scotland,Conservative,20.51
2021-03-19,Scotland,Green Party,2.36
2021-03-19,Scotland,Labour,19.22
2021-03-19,Scotland,Liberal Democrats,6.0
2021-03-19,Scotland,SNP,50.9
2021-03-19,Wales,Other,1.36
2021-03-19,Wales,Conservative,32.54
2021-03-19,Wales,Green Party,2.71
2021-03-19,Wales,Labour,34.68
2021-03-19,Wales,Liberal Democrats,7.28
2021-03-19,Wales,Plaid Cymru,13.14
2021-03-19,Wales,Reform UK,8.07
2021-03-18,Scotland,Other,1.71
2021-03-18,Scotland,Conservative,20.51
2021-03-18,Scotland,Green Party,2.22
2021-03-18,Scotland,Labour,19.22
2021-03-18,Scotland,Liberal Democrats,5.93
2021-03-18,Scotland,SNP,51.19
2021-03-16,Great Britain,Other,3.29
2021-03-16,Great Britain,Conservative,42.47
2021-03-16,Great Britain,Green Party,4.61
2021-03-16,Great Britain,Labour,35.83
2021-03-16,Great Britain,Liberal Democrats,7.17
2021-03-16,Great Britain,Reform UK,2.5
2021-03-16,Great Britain,SNP,4.35
2021-03-16,Scotland,Other,1.64
2021-03-16,Scotland,Conservative,20.85
2021-03-16,Scotland,Green Party,2.22
2021-03-16,Scotland,Labour,18.92
2021-03-16,Scotland,Liberal Democrats,5.78
2021-03-16,Scotland,SNP,51.22
2021-03-15,Great Britain,Other,3.22
2021-03-15,Great Britain,Conservative,42.36
2021-03-15,Great Britain,Green Party,4.69
2021-03-15,Great Britain,Labour,35.85
2021-03-15,Great Britain,Liberal Democrats,7.18
2021-03-15,Great Britain,Reform UK,2.5
2021-03-15,Great Britain,SNP,4.35
2021-03-14,Great Britain,Other,3.22
2021-03-14,Great Britain,Conservative,42.16
2021-03-14,Great Britain,Green Party,4.68
2021-03-14,Great Britain,Labour,36.01
2021-03-14,Great Britain,Liberal Democrats,7.24
2021-03-14,Great Britain,Reform UK,2.42
2021-03-14,Great Britain,SNP,4.41
2021-03-12,Great Britain,Other,3.35
2021-03-12,Great Britain,Conservative,42.31
2021-03-12,Great Britain,Green Party,4.61
2021-03-12,Great Britain,Labour,35.96
2021-03-12,Great Britain,Liberal Democrats,7.16
