date,country_name,party_name,voting_intention
2026-06-01,Great Britain,Reform UK,27.4
2026-06-01,Great Britain,SNP,3.03
2026-05-29,Scotland,Other,2.5
2026-05-29,Scotland,Conservative,10.7
2026-05-29,Scotland,Green Party,9.12
2026-05-29,Scotland,Labour,16.45
2026-05-29,Scotland,Liberal Democrats,8.91
2026-05-29,Scotland,Reform UK,19.63
2026-05-29,Scotland,SNP,32.75
2026-05-28,Great Britain,Other,4.4
2026-05-28,Great Britain,Conservative,18.21
2026-05-28,Great Britain,Green Party,14.59
2026-05-28,Great Britain,Labour,18.71
2026-05-28,Great Britain,Liberal Democrats,12.42
2026-05-28,Great Britain,Plaid Cymru,1.29
2026-05-28,Great Britain,Reform UK,27.4
2026-05-28,Great Britain,SNP,3.05
2026-05-27,Great Britain,Other,4.39
2026-05-27,Great Britain,Conservative,18.4
2026-05-27,Great Britain,Green Party,15.14
2026-05-27,Great Britain,Labour,18.33
2026-05-27,Great Britain,Liberal Democrats,12.33
2026-05-27,Great Britain,Plaid Cymru,1.29
2026-05-27,Great Britain,Reform UK,27.08
2026-05-27,Great Britain,SNP,3.12
2026-05-26,Great Britain,Other,4.4
2026-05-26,Great Britain,Conservative,18.34
2026-05-26,Great Britain,Green Party,14.86
2026-05-26,Great Britain,Labour,18.49
2026-05-26,Great Britain,Liberal Democrats,12.48
2026-05-26,Great Britain,Plaid Cymru,1.29
2026-05-26,Great Britain,Reform UK,27.09
2026-05-26,Great Britain,SNP,3.12
2026-05-25,Great Britain,Other,4.37
2026-05-25,Great Britain,Conservative,18.35
2026-05-25,Great Britain,Green Party,14.52
2026-05-25,Great Britain,Labour,18.71
2026-05-25,Great Britain,Liberal Democrats,12.4
2026-05-25,Great Britain,Plaid Cymru,1.24
2026-05-25,Great Britain,Reform UK,27.42
2026-05-25,Great Britain,SNP,3.05
2026-05-22,Great Britain,Other,4.52
2026-05-22,Great Britain,Conservative,18.27
2026-05-22,Great Britain,Green Party,14.57
2026-05-22,Great Britain,Labour,18.81
