Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kerstin Casparij,DF,nl Netherlands,24-331,2000,3,3,243,2.7,0,0,0,0,0,0,0,0,0,0,0.3,0.3,7,16,13,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
Janice Cayman,DF,be Belgium,36-277,1988,3,3,270,3,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,0,6,0,0.33,0,0.33,0.33,0.33,0.16,0,0.16,0.16,0.16,Matches
Selina Cerci,FW,de Germany,25-046,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
Niamh Charles,DF,eng England,26-025,1999,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,Matches
Olivia Clark,GK,wls Wales,23-320,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Grace Clinton,MF,eng England,22-107,2003,2,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
Carole Costa,DF,pt Portugal,35-074,1990,3,3,270,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,7,0,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
Ana-Maria Crnogor?evi?,DF,ch Switzerland,34-286,1990,3,0,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,13,5,0,0,0,0,0,0.11,0.1,0.21,0.11,0.21,Matches
Sara DÑbritz,MF,de Germany,30-151,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Linda Dallmann,MF,de Germany,30-317,1994,2,2,138,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,6,7,0,0,0,0,0,0.2,0.09,0.28,0.2,0.28,Matches
êlisa De Almeida,DF,fr France,27-186,1998,2,2,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,5,7,6,0,0,0,0,0,0.05,0.15,0.2,0.05,0.2,Matches
Tine De Caigny,MF,be Belgium,28-037,1997,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Athenea del Castillo,"FW,MF",es Spain,24-265,2000,3,1,120,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,7,12,0.75,0,0.75,0.75,0.75,0.1,0.04,0.14,0.1,0.14,Matches
Laura Deloose,DF,be Belgium,32-028,1993,3,3,266,3,0,0,0,0,0,0,0,0,0,0,0.4,0.4,4,13,6,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Marie Detruyer,"MF,FW",be Belgium,21-184,2004,2,0,83,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,1,0,6,0,0,0,0,0,0.22,0.55,0.78,0.22,0.78,Matches
Elena Dhont,"FW,DF",be Belgium,27-111,1998,3,0,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Lucia Di Guglielmo,DF,it Italy,28-020,1997,2,2,127,1.4,0,1,1,0,0,0,1,0,0,0,0.1,0.1,4,3,8,0,0.71,0.71,0,0.71,0.02,0.04,0.06,0.02,0.06,Matches
Kadidiatou Diani,"FW,MF",fr France,30-106,1995,3,1,139,1.5,1,1,2,0,1,1,0,0,1.6,0.9,0.9,1.8,3,4,18,0.65,0.65,1.29,0,0.65,1.03,0.59,1.62,0.56,1.15,Matches
Caitlin Dijkstra,DF,nl Netherlands,26-167,1999,3,0,62,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,5,0,0,0,0,0,0,0.12,0.03,0.15,0.12,0.15,Matches
Daphne van Domselaar,GK,nl Netherlands,25-132,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Daniâlle van de Donk,"MF,FW",nl Netherlands,33-345,1991,3,2,171,1.9,0,2,2,0,0,0,0,0,0.2,0.2,0.3,0.5,4,5,14,0,1.05,1.05,0,1.05,0.12,0.17,0.28,0.12,0.28,Matches
Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Paulina Dudek,DF,pl Poland,28-030,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Damaris Egurrola,MF,nl Netherlands,25-324,1999,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
Hl°n Eir°ksd¢ttir,"MF,FW",is Iceland,25-034,2000,2,1,73,0.8,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,1,0,5,1.23,0,1.23,1.23,1.23,0.53,0,0.53,0.53,0.53,Matches
