Rank  Team                      Elo Rating
216   Peru                       1265.35  
217   Afghanistan                1264.99  
218   Antigua and Barbuda        1257.63  
219   Latvia                     1254.13  
220   Liechtenstein              1251.77  
221   Iraq                       1250.33  
222   Seychelles                 1244.93  
223   Bolivia                    1243.75  
224   Syria                      1242.11  
225   Lithuania                  1222.53  
226   Sri Lanka                  1220.65  
227   Tajikistan                 1216.19  
228   Mauritius                  1208.21  
229   Cyprus                     1201.49  
230   Kazakhstan                 1199.41  
231   Dominica                   1199.38  
232   Faroe Islands              1199.09  
233   Singapore                  1194.97  
234   American Samoa             1190.86  
235   Georgia                    1190.05  
236   Andorra                    1183.83  
237   Timor-Leste                1181.60  
238   Turks and Caicos Islands   1180.18  
239   Laos                       1179.27  
240   Estonia                    1177.37  
241   North Macedonia            1165.89  
242   Bulgaria                   1157.62  
243   Moldova                    1146.23  
244   Macedonia                  1126.32  
245   Armenia                    1090.97  
246   Gibraltar                  1087.89  
247   Maldives                   1083.87  
